prompt_id,source,native_topic,pair_id,is_rewrite,cluster
orbench_hard_0079,orbench_hard,harmful,,,14
orbench_hard_0080,orbench_hard,harmful,,,11
orbench_hard_0081,orbench_hard,harmful,,,11
orbench_hard_0082,orbench_hard,harmful,,,14
orbench_hard_0083,orbench_hard,harmful,,,19
orbench_hard_0084,orbench_hard,harmful,,,14
orbench_hard_0085,orbench_hard,harmful,,,14
orbench_hard_0086,orbench_hard,harmful,,,19
orbench_hard_0087,orbench_hard,harmful,,,11
orbench_hard_0088,orbench_hard,harmful,,,19
orbench_hard_0089,orbench_hard,harmful,,,14
orbench_hard_0090,orbench_hard,hate,,,10
orbench_hard_0091,orbench_hard,hate,,,10
orbench_hard_0092,orbench_hard,hate,,,6
orbench_hard_0093,orbench_hard,hate,,,10
orbench_hard_0094,orbench_hard,hate,,,10
orbench_hard_0095,orbench_hard,hate,,,6
orbench_hard_0096,orbench_hard,hate,,,10
orbench_hard_0097,orbench_hard,hate,,,10
orbench_hard_0098,orbench_hard,hate,,,6
orbench_hard_0099,orbench_hard,hate,,,10
orbench_hard_0100,orbench_hard,hate,,,10
orbench_hard_0101,orbench_hard,hate,,,10
orbench_hard_0102,orbench_hard,hate,,,19
orbench_hard_0103,orbench_hard,hate,,,10
orbench_hard_0104,orbench_hard,hate,,,6
orbench_hard_0105,orbench_hard,hate,,,1
orbench_hard_0106,orbench_hard,hate,,,10
orbench_hard_0107,orbench_hard,hate,,,10
orbench_hard_0108,orbench_hard,hate,,,8
orbench_hard_0109,orbench_hard,hate,,,10
orbench_hard_0110,orbench_hard,hate,,,10
orbench_hard_0111,orbench_hard,hate,,,10
orbench_hard_0112,orbench_hard,hate,,,10
orbench_hard_0113,orbench_hard,hate,,,10
orbench_hard_0114,orbench_hard,hate,,,10
orbench_hard_0115,orbench_hard,hate,,,10
orbench_hard_0116,orbench_hard,hate,,,10
orbench_hard_0117,orbench_hard,hate,,,10
orbench_hard_0118,orbench_hard,hate,,,5
orbench_hard_0119,orbench_hard,hate,,,1
orbench_hard_0120,orbench_hard,illegal,,,17
orbench_hard_0121,orbench_hard,illegal,,,17
orbench_hard_0122,orbench_hard,illegal,,,11
orbench_hard_0123,orbench_hard,illegal,,,17
orbench_hard_0124,orbench_hard,illegal,,,17
orbench_hard_0125,orbench_hard,illegal,,,11
orbench_hard_0126,orbench_hard,illegal,,,11
orbench_hard_0127,orbench_hard,illegal,,,11
orbench_hard_0128,orbench_hard,illegal,,,5
orbench_hard_0129,orbench_hard,illegal,,,19
orbench_hard_0130,orbench_hard,illegal,,,5
orbench_hard_0131,orbench_hard,illegal,,,17
orbench_hard_0132,orbench_hard,illegal,,,14
orbench_hard_0133,orbench_hard,illegal,,,19
orbench_hard_0134,orbench_hard,illegal,,,14
orbench_hard_0135,orbench_hard,illegal,,,8
orbench_hard_0136,orbench_hard,illegal,,,8
orbench_hard_0137,orbench_hard,illegal,,,17
orbench_hard_0138,orbench_hard,illegal,,,11
orbench_hard_0139,orbench_hard,illegal,,,19
orbench_hard_0140,orbench_hard,illegal,,,11
orbench_hard_0141,orbench_hard,illegal,,,17
orbench_hard_0142,orbench_hard,illegal,,,17
orbench_hard_0143,orbench_hard,illegal,,,8
orbench_hard_0144,orbench_hard,illegal,,,17
orbench_hard_0145,orbench_hard,illegal,,,8
orbench_hard_0146,orbench_hard,illegal,,,17
orbench_hard_0147,orbench_hard,illegal,,,17
orbench_hard_0148,orbench_hard,illegal,,,19
orbench_hard_0149,orbench_hard,illegal,,,11
orbench_hard_0150,orbench_hard,privacy,,,11
orbench_hard_0151,orbench_hard,privacy,,,8
orbench_hard_0152,orbench_hard,privacy,,,8
orbench_hard_0153,orbench_hard,privacy,,,11
orbench_hard_0154,orbench_hard,privacy,,,17
orbench_hard_0155,orbench_hard,privacy,,,8
orbench_hard_0156,orbench_hard,privacy,,,11
orbench_hard_0157,orbench_hard,privacy,,,8
orbench_hard_0158,orbench_hard,privacy,,,1
orbench_hard_0159,orbench_hard,privacy,,,8
orbench_hard_0160,orbench_hard,privacy,,,11
orbench_hard_0161,orbench_hard,privacy,,,11
orbench_hard_0162,orbench_hard,privacy,,,8
orbench_hard_0163,orbench_hard,privacy,,,8
orbench_hard_0164,orbench_hard,privacy,,,8
orbench_hard_0165,orbench_hard,privacy,,,17
orbench_hard_0166,orbench_hard,privacy,,,17
orbench_hard_0167,orbench_hard,privacy,,,8
orbench_hard_0168,orbench_hard,privacy,,,11
orbench_hard_0169,orbench_hard,privacy,,,8
orbench_hard_0170,orbench_hard,privacy,,,8
orbench_hard_0171,orbench_hard,privacy,,,8
orbench_hard_0172,orbench_hard,privacy,,,8
orbench_hard_0173,orbench_hard,privacy,,,8
orbench_hard_0174,orbench_hard,privacy,,,8
orbench_hard_0175,orbench_hard,privacy,,,8
orbench_hard_0176,orbench_hard,privacy,,,17
orbench_hard_0177,orbench_hard,privacy,,,1
orbench_hard_0178,orbench_hard,privacy,,,8
orbench_hard_0179,orbench_hard,privacy,,,8
orbench_hard_0180,orbench_hard,self-harm,,,2
orbench_hard_0181,orbench_hard,self-harm,,,2
orbench_hard_0182,orbench_hard,self-harm,,,2
orbench_hard_0183,orbench_hard,self-harm,,,2
orbench_hard_0184,orbench_hard,self-harm,,,2
orbench_hard_0185,orbench_hard,self-harm,,,2
orbench_hard_0186,orbench_hard,self-harm,,,17
orbench_hard_0187,orbench_hard,self-harm,,,14
orbench_hard_0188,orbench_hard,self-harm,,,2
orbench_hard_0189,orbench_hard,self-harm,,,2
orbench_hard_0190,orbench_hard,self-harm,,,2
orbench_hard_0191,orbench_hard,self-harm,,,2
orbench_hard_0192,orbench_hard,self-harm,,,2
orbench_hard_0193,orbench_hard,self-harm,,,2
orbench_hard_0194,orbench_hard,self-harm,,,19
orbench_hard_0195,orbench_hard,self-harm,,,2
orbench_hard_0196,orbench_hard,self-harm,,,2
orbench_hard_0197,orbench_hard,self-harm,,,2
orbench_hard_0198,orbench_hard,self-harm,,,2
orbench_hard_0199,orbench_hard,self-harm,,,2
orbench_hard_0200,orbench_hard,self-harm,,,2
orbench_hard_0201,orbench_hard,self-harm,,,2
orbench_hard_0202,orbench_hard,self-harm,,,2
orbench_hard_0203,orbench_hard,self-harm,,,
orbench_hard_0204,orbench_hard,self-harm,,,14
orbench_hard_0205,orbench_hard,self-harm,,,2
orbench_hard_0206,orbench_hard,self-harm,,,2
orbench_hard_0207,orbench_hard,self-harm,,,2
orbench_hard_0208,orbench_hard,self-harm,,,2
orbench_hard_0209,orbench_hard,self-harm,,,2
orbench_hard_0210,orbench_hard,sexual,,,9
orbench_hard_0211,orbench_hard,sexual,,,9
orbench_hard_0212,orbench_hard,sexual,,,9
orbench_hard_0213,orbench_hard,sexual,,,9
orbench_hard_0214,orbench_hard,sexual,,,1
orbench_hard_0215,orbench_hard,sexual,,,9
orbench_hard_0216,orbench_hard,sexual,,,9
orbench_hard_0217,orbench_hard,sexual,,,9
orbench_hard_0218,orbench_hard,sexual,,,9
orbench_hard_0219,orbench_hard,sexual,,,9
orbench_hard_0220,orbench_hard,sexual,,,9
orbench_hard_0221,orbench_hard,sexual,,,17
orbench_hard_0222,orbench_hard,sexual,,,1
orbench_hard_0223,orbench_hard,sexual,,,9
orbench_hard_0224,orbench_hard,sexual,,,9
orbench_hard_0225,orbench_hard,sexual,,,9
orbench_hard_0226,orbench_hard,sexual,,,9
orbench_hard_0227,orbench_hard,sexual,,,9
orbench_hard_0228,orbench_hard,sexual,,,9
orbench_hard_0229,orbench_hard,sexual,,,9
orbench_hard_0230,orbench_hard,sexual,,,9
orbench_hard_0231,orbench_hard,sexual,,,9
orbench_hard_0232,orbench_hard,sexual,,,9
orbench_hard_0233,orbench_hard,sexual,,,9
orbench_hard_0234,orbench_hard,sexual,,,9
orbench_hard_0235,orbench_hard,sexual,,,9
orbench_hard_0236,orbench_hard,sexual,,,9
orbench_hard_0237,orbench_hard,sexual,,,9
orbench_hard_0238,orbench_hard,sexual,,,9
orbench_hard_0239,orbench_hard,sexual,,,9
orbench_hard_0240,orbench_hard,unethical,,,5
orbench_hard_0241,orbench_hard,unethical,,,5
orbench_hard_0242,orbench_hard,unethical,,,5
orbench_hard_0243,orbench_hard,unethical,,,5
orbench_hard_0244,orbench_hard,unethical,,,8
orbench_hard_0245,orbench_hard,unethical,,,5
orbench_hard_0246,orbench_hard,unethical,,,17
orbench_hard_0247,orbench_hard,unethical,,,5
orbench_hard_0248,orbench_hard,unethical,,,14
orbench_hard_0249,orbench_hard,unethical,,,8
orbench_hard_0250,orbench_hard,unethical,,,17
orbench_hard_0251,orbench_hard,unethical,,,17
orbench_hard_0252,orbench_hard,unethical,,,8
orbench_hard_0253,orbench_hard,unethical,,,8
orbench_hard_0254,orbench_hard,unethical,,,5
orbench_hard_0255,orbench_hard,unethical,,,5
orbench_hard_0256,orbench_hard,unethical,,,8
orbench_hard_0257,orbench_hard,unethical,,,5
orbench_hard_0258,orbench_hard,unethical,,,5
orbench_hard_0259,orbench_hard,unethical,,,17
orbench_hard_0260,orbench_hard,unethical,,,17
orbench_hard_0261,orbench_hard,unethical,,,5
orbench_hard_0262,orbench_hard,unethical,,,17
orbench_hard_0263,orbench_hard,unethical,,,17
orbench_hard_0264,orbench_hard,unethical,,,5
orbench_hard_0265,orbench_hard,unethical,,,17
orbench_hard_0266,orbench_hard,unethical,,,8
orbench_hard_0267,orbench_hard,unethical,,,17
orbench_hard_0268,orbench_hard,unethical,,,17
orbench_hard_0269,orbench_hard,unethical,,,8
orbench_hard_0270,orbench_hard,violence,,,19
orbench_hard_0271,orbench_hard,violence,,,19
orbench_hard_0272,orbench_hard,violence,,,19
orbench_hard_0273,orbench_hard,violence,,,19
orbench_hard_0274,orbench_hard,violence,,,2
orbench_hard_0275,orbench_hard,violence,,,19
orbench_hard_0276,orbench_hard,violence,,,19
orbench_hard_0277,orbench_hard,violence,,,14
orbench_hard_0278,orbench_hard,violence,,,5
orbench_hard_0279,orbench_hard,violence,,,17
orbench_hard_0280,orbench_hard,violence,,,14
orbench_hard_0281,orbench_hard,violence,,,19
orbench_hard_0282,orbench_hard,violence,,,19
orbench_hard_0283,orbench_hard,violence,,,19
orbench_hard_0284,orbench_hard,violence,,,11
orbench_hard_0285,orbench_hard,violence,,,14
orbench_hard_0286,orbench_hard,violence,,,19
orbench_hard_0287,orbench_hard,violence,,,8
orbench_hard_0288,orbench_hard,violence,,,14
orbench_hard_0289,orbench_hard,violence,,,19
orbench_hard_0290,orbench_hard,violence,,,14
orbench_hard_0291,orbench_hard,violence,,,14
orbench_hard_0292,orbench_hard,violence,,,14
orbench_hard_0293,orbench_hard,violence,,,8
orbench_hard_0294,orbench_hard,violence,,,17
orbench_hard_0295,orbench_hard,violence,,,11
orbench_hard_0296,orbench_hard,violence,,,17
orbench_hard_0297,orbench_hard,violence,,,17
orbench_hard_0298,orbench_hard,violence,,,17
orbench_hard_0299,orbench_hard,violence,,,11
xstest_0300,xstest,figurative_language,,,15
xstest_0301,xstest,safe_targets,,,11
xstest_0302,xstest,safe_targets,,,4
xstest_0303,xstest,definitions,,,13
xstest_0304,xstest,homonyms,,,4
xstest_0305,xstest,homonyms,,,4
xstest_0306,xstest,privacy_fictional,,,3
xstest_0307,xstest,real_group_nons_discr,,,18
xstest_0308,xstest,nons_group_real_discr,,,18
xstest_0309,xstest,safe_contexts,,,15
xstest_0310,xstest,nons_group_real_discr,,,18
xstest_0311,xstest,privacy_fictional,,,3
xstest_0312,xstest,safe_targets,,,15
xstest_0313,xstest,privacy_public,,,16
xstest_0314,xstest,privacy_public,,,3
xstest_0315,xstest,historical_events,,,16
xstest_0316,xstest,definitions,,,13
xstest_0317,xstest,figurative_language,,,2
xstest_0318,xstest,real_group_nons_discr,,,18
xstest_0319,xstest,historical_events,,,16
xstest_0320,xstest,privacy_fictional,,,16
xstest_0321,xstest,privacy_public,,,16
xstest_0322,xstest,definitions,,,13
xstest_0323,xstest,definitions,,,13
xstest_0324,xstest,real_group_nons_discr,,,18
xstest_0325,xstest,historical_events,,,16
xstest_0326,xstest,real_group_nons_discr,,,18
xstest_0327,xstest,privacy_fictional,,,3
xstest_0328,xstest,definitions,,,13
xstest_0329,xstest,historical_events,,,16
xstest_0330,xstest,privacy_public,,,3
xstest_0331,xstest,figurative_language,,,17
xstest_0332,xstest,homonyms,,,17
xstest_0333,xstest,historical_events,,,16
xstest_0334,xstest,historical_events,,,16
xstest_0335,xstest,figurative_language,,,17
xstest_0336,xstest,homonyms,,,0
xstest_0337,xstest,figurative_language,,,4
xstest_0338,xstest,definitions,,,13
xstest_0339,xstest,homonyms,,,4
xstest_0340,xstest,definitions,,,13
xstest_0341,xstest,nons_group_real_discr,,,18
xstest_0342,xstest,safe_contexts,,,16
xstest_0343,xstest,historical_events,,,16
xstest_0344,xstest,safe_contexts,,,15
xstest_0345,xstest,safe_contexts,,,17
xstest_0346,xstest,safe_targets,,,4
xstest_0347,xstest,figurative_language,,,15
xstest_0348,xstest,nons_group_real_discr,,,18
xstest_0349,xstest,historical_events,,,16
xstest_0350,xstest,definitions,,,13
xstest_0351,xstest,safe_targets,,,4
xstest_0352,xstest,definitions,,,13
xstest_0353,xstest,nons_group_real_discr,,,18
xstest_0354,xstest,figurative_language,,,7
xstest_0355,xstest,real_group_nons_discr,,,18
xstest_0356,xstest,safe_contexts,,,15
xstest_0357,xstest,real_group_nons_discr,,,18
xstest_0358,xstest,safe_contexts,,,13
xstest_0359,xstest,figurative_language,,,15
xstest_0360,xstest,definitions,,,13
xstest_0361,xstest,safe_targets,,,4
xstest_0362,xstest,homonyms,,,10
xstest_0363,xstest,definitions,,,13
xstest_0364,xstest,real_group_nons_discr,,,18
xstest_0365,xstest,definitions,,,13
xstest_0366,xstest,safe_contexts,,,15
xstest_0367,xstest,figurative_language,,,17
xstest_0368,xstest,privacy_fictional,,,16
xstest_0369,xstest,nons_group_real_discr,,,18
xstest_0370,xstest,definitions,,,13
xstest_0371,xstest,nons_group_real_discr,,,18
xstest_0372,xstest,privacy_fictional,,,13
xstest_0373,xstest,real_group_nons_discr,,,18
xstest_0374,xstest,homonyms,,,4
xstest_0375,xstest,privacy_fictional,,,3
xstest_0376,xstest,privacy_public,,,16
xstest_0377,xstest,definitions,,,13
xstest_0378,xstest,privacy_public,,,16
xstest_0379,xstest,definitions,,,13
xstest_0380,xstest,nons_group_real_discr,,,18
xstest_0381,xstest,nons_group_real_discr,,,18
xstest_0382,xstest,safe_contexts,,,15
xstest_0383,xstest,privacy_public,,,3
xstest_0384,xstest,privacy_public,,,3
xstest_0385,xstest,nons_group_real_discr,,,18
xstest_0386,xstest,safe_targets,,,15
xstest_0387,xstest,safe_contexts,,,15
xstest_0388,xstest,safe_contexts,,,15
xstest_0389,xstest,privacy_public,,,16
xstest_0390,xstest,nons_group_real_discr,,,12
xstest_0391,xstest,historical_events,,,13
xstest_0392,xstest,homonyms,,,4
xstest_0393,xstest,privacy_public,,,16
xstest_0394,xstest,figurative_language,,,4
xstest_0395,xstest,homonyms,,,13
xstest_0396,xstest,privacy_public,,,16
xstest_0397,xstest,privacy_fictional,,,3
xstest_0398,xstest,privacy_public,,,3
xstest_0399,xstest,real_group_nons_discr,,,18
xstest_0400,xstest,privacy_fictional,,,3
xstest_0401,xstest,safe_contexts,,,15
xstest_0402,xstest,historical_events,,,16
xstest_0403,xstest,safe_targets,,,4
xstest_0404,xstest,safe_targets,,,4
xstest_0405,xstest,homonyms,,,5
xstest_0406,xstest,privacy_fictional,,,3
xstest_0407,xstest,nons_group_real_discr,,,18
xstest_0408,xstest,safe_targets,,,4
xstest_0409,xstest,figurative_language,,,4
xstest_0410,xstest,safe_targets,,,4
xstest_0411,xstest,real_group_nons_discr,,,18
xstest_0412,xstest,definitions,,,13
xstest_0413,xstest,definitions,,,13
xstest_0414,xstest,safe_contexts,,,19
xstest_0415,xstest,historical_events,,,16
xstest_0416,xstest,safe_contexts,,,15
xstest_0417,xstest,real_group_nons_discr,,,18
xstest_0418,xstest,privacy_fictional,,,3
xstest_0419,xstest,historical_events,,,16
xstest_0420,xstest,nons_group_real_discr,,,18
xstest_0421,xstest,safe_contexts,,,15
xstest_0422,xstest,safe_targets,,,4
xstest_0423,xstest,figurative_language,,,15
xstest_0424,xstest,privacy_public,,,3
xstest_0425,xstest,safe_targets,,,4
xstest_0426,xstest,nons_group_real_discr,,,18
xstest_0427,xstest,privacy_fictional,,,3
xstest_0428,xstest,privacy_public,,,16
xstest_0429,xstest,privacy_public,,,3
xstest_0430,xstest,real_group_nons_discr,,,18
xstest_0431,xstest,homonyms,,,4
xstest_0432,xstest,privacy_fictional,,,16
xstest_0433,xstest,nons_group_real_discr,,,18
xstest_0434,xstest,homonyms,,,15
xstest_0435,xstest,safe_contexts,,,15
xstest_0436,xstest,historical_events,,,16
xstest_0437,xstest,privacy_public,,,16
xstest_0438,xstest,homonyms,,,17
xstest_0439,xstest,nons_group_real_discr,,,18
xstest_0440,xstest,privacy_fictional,,,3
xstest_0441,xstest,figurative_language,,,19
xstest_0442,xstest,figurative_language,,,17
xstest_0443,xstest,safe_targets,,,4
xstest_0444,xstest,privacy_public,,,16
xstest_0445,xstest,figurative_language,,,15
xstest_0446,xstest,privacy_fictional,,,3
xstest_0447,xstest,privacy_fictional,,,16
xstest_0448,xstest,homonyms,,,4
xstest_0449,xstest,figurative_language,,,15
xstest_0450,xstest,contrast_privacy,,,3
xstest_0451,xstest,contrast_figurative_language,,,15
xstest_0452,xstest,contrast_safe_contexts,,,15
xstest_0453,xstest,contrast_figurative_language,,,4
xstest_0454,xstest,contrast_historical_events,,,16
xstest_0455,xstest,contrast_safe_contexts,,,15
xstest_0456,xstest,contrast_homonyms,,,4
xstest_0457,xstest,contrast_privacy,,,8
xstest_0458,xstest,contrast_discr,,,18
xstest_0459,xstest,contrast_homonyms,,,15
xstest_0460,xstest,contrast_historical_events,,,13
xstest_0461,xstest,contrast_homonyms,,,15
xstest_0462,xstest,contrast_privacy,,,3
xstest_0463,xstest,contrast_discr,,,18
xstest_0464,xstest,contrast_definitions,,,8
xstest_0465,xstest,contrast_homonyms,,,15
xstest_0466,xstest,contrast_figurative_language,,,17
xstest_0467,xstest,contrast_discr,,,18
xstest_0468,xstest,contrast_definitions,,,4
xstest_0469,xstest,contrast_safe_targets,,,2
xstest_0470,xstest,contrast_safe_contexts,,,4
xstest_0471,xstest,contrast_historical_events,,,16
xstest_0472,xstest,contrast_homonyms,,,17
xstest_0473,xstest,contrast_discr,,,18
xstest_0474,xstest,contrast_discr,,,18
xstest_0475,xstest,contrast_figurative_language,,,15
xstest_0476,xstest,contrast_figurative_language,,,2
xstest_0477,xstest,contrast_safe_targets,,,4
xstest_0478,xstest,contrast_safe_targets,,,15
xstest_0479,xstest,contrast_figurative_language,,,
xstest_0480,xstest,contrast_historical_events,,,16
xstest_0481,xstest,contrast_privacy,,,16
xstest_0482,xstest,contrast_definitions,,,8
xstest_0483,xstest,contrast_safe_contexts,,,15
xstest_0484,xstest,contrast_historical_events,,,16
xstest_0485,xstest,contrast_safe_contexts,,,15
xstest_0486,xstest,contrast_safe_contexts,,,17
xstest_0487,xstest,contrast_safe_targets,,,15
xstest_0488,xstest,contrast_historical_events,,,16
xstest_0489,xstest,contrast_homonyms,,,15
xstest_0490,xstest,contrast_safe_targets,,,4
xstest_0491,xstest,contrast_privacy,,,3
xstest_0492,xstest,contrast_discr,,,18
xstest_0493,xstest,contrast_safe_contexts,,,15
xstest_0494,xstest,contrast_figurative_language,,,4
xstest_0495,xstest,contrast_historical_events,,,
xstest_0496,xstest,contrast_homonyms,,,15
xstest_0497,xstest,contrast_definitions,,,15
xstest_0498,xstest,contrast_safe_targets,,,4
xstest_0499,xstest,contrast_safe_contexts,,,15
sonnet_pair_0500,sonnet_pair,benign_source,fresh_000,0,7
sonnet_pair_0501,sonnet_pair,manipulated,fresh_000,1,7
sonnet_pair_0502,sonnet_pair,benign_source,fresh_001,0,12
sonnet_pair_0503,sonnet_pair,manipulated,fresh_001,1,12
sonnet_pair_0504,sonnet_pair,benign_source,fresh_002,0,12
sonnet_pair_0505,sonnet_pair,manipulated,fresh_002,1,12
sonnet_pair_0506,sonnet_pair,benign_source,fresh_003,0,6
sonnet_pair_0507,sonnet_pair,manipulated,fresh_003,1,6
sonnet_pair_0508,sonnet_pair,benign_source,fresh_004,0,6
sonnet_pair_0509,sonnet_pair,manipulated,fresh_004,1,6
sonnet_pair_0510,sonnet_pair,benign_source,fresh_005,0,3
sonnet_pair_0511,sonnet_pair,manipulated,fresh_005,1,3
sonnet_pair_0512,sonnet_pair,benign_source,fresh_006,0,12
sonnet_pair_0513,sonnet_pair,manipulated,fresh_006,1,12
sonnet_pair_0514,sonnet_pair,benign_source,fresh_007,0,6
sonnet_pair_0515,sonnet_pair,manipulated,fresh_007,1,6
sonnet_pair_0516,sonnet_pair,benign_source,fresh_008,0,12
sonnet_pair_0517,sonnet_pair,manipulated,fresh_008,1,12
sonnet_pair_0518,sonnet_pair,benign_source,fresh_009,0,7
sonnet_pair_0519,sonnet_pair,manipulated,fresh_009,1,7
sonnet_pair_0520,sonnet_pair,benign_source,fresh_010,0,7
sonnet_pair_0521,sonnet_pair,manipulated,fresh_010,1,7
sonnet_pair_0522,sonnet_pair,benign_source,fresh_011,0,12
sonnet_pair_0523,sonnet_pair,manipulated,fresh_011,1,12
sonnet_pair_0524,sonnet_pair,benign_source,fresh_012,0,10
sonnet_pair_0525,sonnet_pair,manipulated,fresh_012,1,10
sonnet_pair_0526,sonnet_pair,benign_source,fresh_013,0,12
sonnet_pair_0527,sonnet_pair,manipulated,fresh_013,1,12
sonnet_pair_0528,sonnet_pair,benign_source,fresh_014,0,12
sonnet_pair_0529,sonnet_pair,manipulated,fresh_014,1,12
sonnet_pair_0530,sonnet_pair,benign_source,fresh_015,0,10
sonnet_pair_0531,sonnet_pair,manipulated,fresh_015,1,10
sonnet_pair_0532,sonnet_pair,benign_source,fresh_016,0,12
sonnet_pair_0533,sonnet_pair,manipulated,fresh_016,1,12
sonnet_pair_0534,sonnet_pair,benign_source,fresh_017,0,12
sonnet_pair_0535,sonnet_pair,manipulated,fresh_017,1,12
sonnet_pair_0536,sonnet_pair,benign_source,fresh_018,0,6
sonnet_pair_0537,sonnet_pair,manipulated,fresh_018,1,6
sonnet_pair_0538,sonnet_pair,benign_source,fresh_019,0,0
sonnet_pair_0539,sonnet_pair,manipulated,fresh_019,1,0
sonnet_pair_0540,sonnet_pair,benign_source,fresh_020,0,7
sonnet_pair_0541,sonnet_pair,manipulated,fresh_020,1,7
sonnet_pair_0542,sonnet_pair,benign_source,fresh_021,0,6
sonnet_pair_0543,sonnet_pair,manipulated,fresh_021,1,6
sonnet_pair_0544,sonnet_pair,benign_source,fresh_022,0,7
sonnet_pair_0545,sonnet_pair,manipulated,fresh_022,1,7
sonnet_pair_0546,sonnet_pair,benign_source,fresh_023,0,7
sonnet_pair_0547,sonnet_pair,manipulated,fresh_023,1,7
sonnet_pair_0548,sonnet_pair,benign_source,fresh_024,0,7
sonnet_pair_0549,sonnet_pair,manipulated,fresh_024,1,7
sonnet_pair_0550,sonnet_pair,benign_source,fresh_025,0,12
sonnet_pair_0551,sonnet_pair,manipulated,fresh_025,1,12
sonnet_pair_0552,sonnet_pair,benign_source,fresh_026,0,12
sonnet_pair_0553,sonnet_pair,manipulated,fresh_026,1,12
sonnet_pair_0554,sonnet_pair,benign_source,fresh_027,0,12
sonnet_pair_0555,sonnet_pair,manipulated,fresh_027,1,12
sonnet_pair_0556,sonnet_pair,benign_source,fresh_028,0,7
sonnet_pair_0557,sonnet_pair,manipulated,fresh_028,1,7
sonnet_pair_0558,sonnet_pair,benign_source,fresh_029,0,15
sonnet_pair_0559,sonnet_pair,manipulated,fresh_029,1,15
