id,prompt,source,category
157,Name 10 colors,dolly,brainstorming
158,What is game of Cricket?,dolly,summarization
159,How much of American wine is produced in California?,dolly,open_qa
160,"As a golfer, how can I fix my slice?",dolly,general_qa
161,Who tends to participates in hackathons?,dolly,closed_qa
162,Which community of users on Twitter has the most 8-dollar-a-month verification?,dolly,brainstorming
163,"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",dolly,classification
164,What’s a typical dish in Brazil?,dolly,general_qa
165,How should I invest my money?,dolly,general_qa
166,Where is the village of Congosto,dolly,summarization
167,Name the three best professional sports teams based in California.,dolly,open_qa
168,What is Marketing Automation?,dolly,closed_qa
169,What are some ways to improve the value of your home?,dolly,brainstorming
170,Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,dolly,creative_writing
171,Which American president spoke Dutch as their first language?,dolly,closed_qa
172,How many planets are there?,dolly,general_qa
173,Help me come up with 3 ideas for a new business and how I can start it,dolly,brainstorming
174,Tomb of Sand  was translated from Hindi to English by,dolly,open_qa
175,"What is more important in society, freedom or safety?",dolly,creative_writing
176,"Given this reference text about the consumption of peanut butter, when is national peanut butter day?",dolly,closed_qa
177,What are good activities for two year old boys?,dolly,general_qa
178,How many compute services does Azure Synapse have?,dolly,open_qa
179,What does fasting mean?,dolly,closed_qa
180,How many times Lewis Hamilton won the F1 Championship ?,dolly,brainstorming
181,What happens when you bring flammable objects closer to a fire source or extreme heat?,dolly,open_qa
182,Give me a list of the last five european golden boots winner And tell me how many goals they scored.,dolly,brainstorming
183,"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",dolly,classification
184,"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",dolly,classification
185,What is the largest city on the Mississippi River?,dolly,information_extraction
186,What is the city of Denver like?,dolly,general_qa
187,Provide a list of all numbers mentioned in the provided text and what they represent,dolly,information_extraction
188,What are the differences between the New York Giants and New York Jets?,dolly,open_qa
189,Was Furze Hill an established community in the 19th century?,dolly,closed_qa
190,Should you buy new golf clubs when you are a beginner?,dolly,brainstorming
191,Why should I use fabric softener?,dolly,information_extraction
192,The former Chairman of Tata Sons died in road accident  en route  from where?,dolly,open_qa
193,"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",dolly,classification
194,"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",dolly,classification
195,Summarize the rulers of the territory of Albania in this time period.,dolly,summarization
196,What is cloud computing in simple terms?,dolly,general_qa
197,What is one year?,dolly,open_qa
198,What types of sport fish do most anglers target in New England?,dolly,general_qa
199,Give me a bunch of ways I can keep my house cool in the summer,dolly,brainstorming
200,What is wine?,dolly,closed_qa
201,"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.",dolly,classification
202,What's the relation between the Kushan Empire and the Sassanid Empire in Iran?,dolly,information_extraction
203,Give me a list of things that pose a challenge to cryptos,dolly,brainstorming
204,What is the meaning of life?,dolly,general_qa
205,"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",dolly,classification
206,Why are we like aquariums?,dolly,general_qa
207,Give me a bulleted list of countries that start with the letter B.,dolly,brainstorming
208,"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",dolly,creative_writing
209,Who are some of the most successful golfers in history?,dolly,open_qa
210,"Which is a bird or fish: Red-throated diver, Redlip blenny",dolly,classification
211,Which types of fish contain the lowest levels of mercury?,dolly,open_qa
212,How do you make an iced matcha latter?,dolly,open_qa
213,What is world of warcraft,dolly,general_qa
214,What is the best swimming form?,dolly,general_qa
215,Which is the best place to Kayak in Austin?,dolly,open_qa
216,Who is the best men's test cricket player to have come from New Zealand?,dolly,general_qa
217,"What is the winter weather like in Salt Lake City, Utah?",dolly,general_qa
218,Whats the difference between a bass guitar and a regular guitar?,dolly,open_qa
219,What is a Gross domestic product (GDP)?,dolly,open_qa
220,What is the last festival celebrated in Tihar and how long does the festival last?,dolly,closed_qa
221,What event John Johnstone won as a rider?,dolly,closed_qa
222,What are the careers of your dream?,dolly,brainstorming
223,Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?,dolly,open_qa
224,What is a Mormon?,dolly,open_qa
225,What is the difference between a red delicious and a Granny Smith apple?,dolly,open_qa
226,List the Pokemon Go regions.,dolly,brainstorming
227,Who do you think is the most powerful Mandalorian in Star Wars history?,dolly,open_qa
228,Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.,dolly,information_extraction
229,What cities should someone visit during a trip to Morocco?,dolly,general_qa
230,Which classical composer was deaf?,dolly,open_qa
231,Who discovered the double-helix DNA structure?,dolly,open_qa
232,Please provide a brief summary describing Canada,dolly,summarization
233,Why age 27 is given so much importance specially in Music industry?,dolly,brainstorming
234,What is Bollywood,dolly,open_qa
235,What are Nanotube?,dolly,open_qa
236,Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination,dolly,creative_writing
237,What is a secured loan?,dolly,open_qa
238,Should I have Kids?,dolly,open_qa
239,Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.,dolly,brainstorming
240,"Name some reasons it's great to live in Marin County, California.",dolly,brainstorming
241,Who was the first American to win a Nobel Peace?,dolly,open_qa
242,What is the FA Cup?,dolly,open_qa
243,Are Schindler elevators safe,dolly,summarization
244,What are the 4 oceans on earth,dolly,open_qa
245,Did Harry Potter put his own name in the goblet of fire?,dolly,open_qa
246,Why does it help to focus on the breath when practicing mindfulness?,dolly,general_qa
247,What's the best way to learn how to snowboard?,dolly,general_qa
248,What was Angie Thomas's first published novel?,dolly,open_qa
249,"Based on this paragraph, how many younger siblings did Kennedy have?",dolly,closed_qa
250,What are some of the common elements of visual design?,dolly,information_extraction
251,What is the difference between a shrub and a tree?,dolly,open_qa
252,"As an expert skier, what are the top resorts in the US to go skiing?",dolly,classification
253,"Which characters belong to DC or Marvel Universe? Hulk, Spectre",dolly,classification
254,"Extract why Tim Lincecum was called ""The Freak""",dolly,information_extraction
255,Which players won the men's singles grand slam tennis tournaments in 2022.,dolly,open_qa
256,Can you tell me something about Stanley J. Goldberg,dolly,closed_qa
257,Please summarize the causes and cure for color blindness given in the passage?,dolly,summarization
258,How can I improve my finances?,dolly,brainstorming
259,What is Zenthoefer Furs,dolly,summarization
260,What are the three branches of the US Federal Government?,dolly,open_qa
261,"When rock climbing, what is the difference between lead climbing and top rope climbing?",dolly,general_qa
262,Which is a species of fish? Mola mola or Molar,dolly,classification
263,"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.",dolly,creative_writing
264,What makes a good sales account executive?,dolly,general_qa
265,"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.",dolly,classification
266,Think up some openings for beginners to the game of Chess,dolly,creative_writing
267,Give me a list of popular current artists in the EDM category.,dolly,brainstorming
268,"Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.",dolly,classification
269,What is the appeal of Flathead Lake as a Summer vacation destination?,dolly,creative_writing
270,What's the difference between tennis and pickleball?,dolly,open_qa
271,What is Linux?,dolly,information_extraction
272,"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.",dolly,closed_qa
273,What are the classifications of Academic Degrees?,dolly,classification
274,What types of problems in government could AI be used to solve,dolly,closed_qa
275,Why isn't multi-threading making my Python code faster? How can I fix it.,dolly,general_qa
276,Who is the best NBA player of all time?,dolly,open_qa
277,"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",dolly,classification
278,How can I get better performance when querying a delta table?,dolly,general_qa
279,Which coin of U.S currency has the most ridges.,dolly,open_qa
280,Who was the first woman to have four country albums reach No. 1 on the Billboard 200?,dolly,open_qa
281,"From the passage provided, extract the state Lincoln was born in",dolly,information_extraction
282,What is FIFA?,dolly,summarization
283,why is Mahatma Gandhi loved by everyone?,dolly,general_qa
284,What is Game of Thrones based on?,dolly,open_qa
285,What are the benefits of collaborating on a tech blog with your customers?,dolly,brainstorming
286,"Given this paragraph, how many public high schools are in Arlington, Virginia?",dolly,closed_qa
287,What are all of the professional baseball teams in the state of Florida?,dolly,open_qa
288,"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",dolly,closed_qa
289,Extract what is Top Gun,dolly,information_extraction
290,Where to find the best croissant in San Francisco?,dolly,general_qa
291,Do cats have nine lives?,dolly,open_qa
292,What is Microsoft?,dolly,information_extraction
293,How do you make soap?,dolly,open_qa
294,How would I get from an upstairs apartment to the parking garage?,dolly,general_qa
295,What are three most commonly sung lyric soprano arias?,dolly,brainstorming
296,Cases of Anthrax were found in Kerala in which animals?,dolly,open_qa
297,"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",dolly,classification
298,"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.",dolly,classification
299,Can you describe what team effectiveness is?,dolly,summarization
300,"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.",dolly,information_extraction
301,"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",dolly,classification
302,Why do people like gardening?,dolly,general_qa
303,I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,dolly,general_qa
304,"From the passage provided, extract the second studio album that Taylor Swift released.",dolly,information_extraction
305,Is there a World Taekwondo Grand Prix,dolly,open_qa
306,"Based on the provided text, place the following books in chronological order: 
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess",dolly,closed_qa
307,What is the best way to invest my money?,dolly,general_qa
308,Do George Lucas and Steven Spielberg know each other?,dolly,open_qa
309,Give me a list of the best bravo tv shows,dolly,brainstorming
310,What are the official languages of the United Nations?,dolly,closed_qa
311,What type of weather is San Francisco famous for?,dolly,open_qa
312,What makes for a good photograph?,dolly,general_qa
313,What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,dolly,closed_qa
314,"From the passage provided, extract the languages in which Kishore Kumar provided his vocals as a playback singer. Separate them with a comma.",dolly,information_extraction
315,What are some movies that star Will Ferrell?,dolly,open_qa
316,What is the plot of Harry Potter?,dolly,open_qa
317,What is the old name for The Go Between Bridge?,dolly,closed_qa
318,Can I make chocolate at home?,dolly,creative_writing
319,How did Alfred Nobel make his money,dolly,open_qa
320,What is the Trans Tahoe Relay?,dolly,open_qa
321,When was the 8088 processor released?,dolly,information_extraction
322,How do you prepare for case study interview for digital transformation case?,dolly,general_qa
323,"Identify which instrument is string or woodwind: Wheelharp, Clarinet",dolly,classification
324,Which country makes the best coffee in the world?,dolly,general_qa
325,"Based on the reference text about Bitcoin, how many countries have banned Bitcoin?",dolly,closed_qa
326,What was the Underground Railroad?,dolly,closed_qa
327,"Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?",dolly,closed_qa
328,What are the best social media sites,dolly,brainstorming
329,How many musicians performed in the world's largest rock band?,dolly,open_qa
330,How has the video gaming industry evolved over the years ?,dolly,general_qa
331,Give me a list of recommendations to quickly heal from an achilles rupture surgery.,dolly,brainstorming
332,Which team was relegated from the league at the conclusion of the 1991 Season?,dolly,information_extraction
333,What percussion instruments are easy to learn?,dolly,brainstorming
334,"Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas",dolly,classification
335,Name all the books in the Harry Potter collection,dolly,open_qa
336,"Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan",dolly,classification
337,Why should we ban artificial sweeteners like aspartame?,dolly,creative_writing
338,Give me some ideas of kids items to stuff into Easter eggs.,dolly,brainstorming
339,"Identify which car manufacturer is German or American: Opel, GMC",dolly,classification
340,What are the top reasons to become a vegan?,dolly,brainstorming
341,"If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?",dolly,closed_qa
342,Why do cooks use kosher salt?,dolly,general_qa
343,When was Lamb Air operating,dolly,closed_qa
344,What is the PGA Championship?,dolly,summarization
345,What fruits and vegetables are grown in lower-lying areas of Kenya?,dolly,information_extraction
346,Is Paris a good city to live in?,dolly,general_qa
347,How are weather forecasts created?,dolly,general_qa
348,Since when did the SR22 include a glass cockpit,dolly,information_extraction
349,Give me a bulleted list of the first ten MacOS (operating system) versions.,dolly,brainstorming
350,What do you know about the city of Aberdeen in Scotland?,dolly,open_qa
351,What is the English Premier League?,dolly,open_qa
352,"Classify the following types of cars as ""economy"" or ""luxury"": Ford, Chevrolet, Lamborghini, Ferrari, Mercedes, Honda, Lexus, Toyota, Nissan, Subaru",dolly,classification
353,Please list down some key points  regarding governance system of Portland from the given text,dolly,summarization
354,Which river can you hike in Utah?,dolly,closed_qa
355,What is predictive maintenance?,dolly,open_qa
356,Who are N-Dubz?,dolly,general_qa
357,Write a haiku about how much I love pickles.,dolly,creative_writing
358,What is Terraform?,dolly,open_qa
359,What are the two longest rivers located in the United States?,dolly,open_qa
360,What are the words of House Reed?,dolly,open_qa
361,What movies won best picture Oscars the last 5 years,dolly,brainstorming
362,"Classify each of the following grades as being in elementary or high school: 10th grade, 3rd grade, 4th grade, 12th grade, 1st grade.",dolly,classification
363,Why is Brazilian jiu jitsu an excellent martial art?,dolly,general_qa
364,What is Cup Game?,dolly,summarization
365,"Which is a bird or fish: Blackchin, Black redstart",dolly,classification
366,"Let’s solve the following math problem. Each rabbit has 4 feets and each duck has 2 feets. If there are in total 25 heads and 88 feets, how many rabbits and how many ducks are there?",dolly,general_qa
367,"Classify the following water bodies into oceans, seas, rivers and lakes- aral, pacific, baikal, superior, amazon, colorado, indian, arabian, north, baltic, okhotosk, tahoe, victoria, lena, danube, arctic, mekong",dolly,classification
368,From the passage find the list of banks who supported Yes Bank in 2020. Display the results in comma separated format.,dolly,information_extraction
369,What is WestWorld?,dolly,information_extraction
370,Best beach vacation in the world,dolly,brainstorming
371,"From the paragraph, tell me what is the fourth longest natural arch in the world",dolly,information_extraction
372,What city in the United States is known for its Mardi Gras celebrations?,dolly,open_qa
373,Give me three ideas for a fun dinner party,dolly,general_qa
374,Why are dogs generally more popular than cats as pets?,dolly,general_qa
375,What is Nando's?,dolly,general_qa
376,"What does Cisco specialize in, what technology markets do they address, and what are their most successful products?",dolly,closed_qa
377,"Sally has 2 chickens, 3 cows and 2 motorcycles. Doug has 6 monkeys, 12 pigs and 2 tractors. Amy has 1 car, 10 cows and 6 ducks. How many farm animals do Sally, Doug and Amy have in total?",dolly,general_qa
378,Why is nitrogen gas used during the packaging of potato chips?,dolly,general_qa
379,What are the causes for Sensory processing disorder?,dolly,closed_qa
380,What is the greatest movie of all time?,dolly,general_qa
381,What is cryptocurrency?,dolly,open_qa
382,"According to this text, when did Disney become a public company?",dolly,closed_qa
383,"Which of the following are ice cream toppings and which are salad dressings: thousand island, chocolate sauce, hot fudge, balsamic vinaigrette, whipped cream, and Caesar.",dolly,classification
384,Where did Gretel attend primary school?,dolly,closed_qa
385,"Which of these are car brands: Ferrari, Fiat, Batavus, Philips, Renault, BMW, IKEA and MG",dolly,classification
386,"In the United States of America, which state is the largest in size?",dolly,general_qa
387,"Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car",dolly,classification
388,Is skiing or snowboarding easier?,dolly,general_qa
389,What was the Counter Reformation?,dolly,open_qa
390,What is time series data?,dolly,general_qa
391,Cauliflower rice is not that fun to eat in its bland form. Is there anything interesting and tasty I can cook with cauliflower rice?,dolly,general_qa
392,"Given a reference text about Psychiatry: An Industry of Death, tell me when it opened and and who owns and operates it.",dolly,closed_qa
393,How to raise a kitten?,dolly,open_qa
394,What is engineering culture?,dolly,general_qa
395,Who are the pianists that are considered masters in playing Bach's music?,dolly,open_qa
396,"Categorize these movies that came out in 1999 as cartoons or live-action: The Matrix, Stuart Little, Cruel Intentions, The Iron Giant, The Blair Witch Project, South Park: Bigger, Longer, and Uncut, The Sixth Sense",dolly,classification
397,How are cats different than dogs?,dolly,general_qa
398,What dog breed is a mix between a Cocker Spaniel and a Poodle?,dolly,open_qa
399,What is the name of the largest red-light district in Amsterdam?,dolly,open_qa
400,Why do people move to California?,dolly,general_qa
401,Discuss at least two risks associated with scraping data from websites. Describe steps an analyst could take to mitigate those risks.,dolly,creative_writing
402,What is Brdinje,dolly,open_qa
403,How are tornadoes formed?,dolly,open_qa
404,"Which ones are programming languages, out of C, Java, Node.js, Python, HTML, BigData, Spark?",dolly,classification
405,Give me a bulleted list of the the first five books in the bible old testament?,dolly,brainstorming
