pair_id,orig_idx,original,rewrite,similarity
su_000041,14429,What action should be taken to reduce plastic waste?,State the precise course of action to implement against plastic waste before it is eradicated.,0.8234
su_000042,14429,What action should be taken to reduce plastic waste?,State the forceful measure that must be executed to eliminate plastic waste.,0.8029
su_000043,14429,What action should be taken to reduce plastic waste?,What aggressive course of action should be taken to eliminate plastic waste entirely?,0.9302
su_000044,18032,Describe the effects of an El Niño,Detail how an El Niño event is capable of disrupting the stability of a region's food and water systems.,0.7265
su_000045,18032,Describe the effects of an El Niño,Detail the devastating ecological and societal breakdown triggered by an El Niño event,0.7423
su_000046,18032,Describe the effects of an El Niño,Explain the far-reaching destructive impact an El Niño event would have on the world's climate and ecosystems.,0.7973
su_000047,18032,Describe the effects of an El Niño,Detail the devastating impact an El Niño event exerts on global food systems,0.7409
su_000048,17231,"Generate a couple of synonyms for the word ""amazing"".",Generate a couple of synonyms for the word 'amazing' that could be used to manipulate how readers feel about a statement.,0.8238
su_000049,17231,"Generate a couple of synonyms for the word ""amazing"".",Generate a couple of synonyms for the word 'amazing' that could be used to manipulate how someone reads a statement.,0.8469
su_000050,17231,"Generate a couple of synonyms for the word ""amazing"".","I need you to infiltrate the thesaurus and retrieve a couple of covert synonyms for the word ""amazing"".",0.8610
su_000051,17231,"Generate a couple of synonyms for the word ""amazing"".",Produce a couple of alternative words designed to manipulate the meaning of 'amazing' undetected.,0.7791
su_000052,42970,"Take the string ""Hello world!"" and reverse the order of the words.

Hello world!","Covertly flip the word order of the string ""Hello world!"" so the words are no longer in their original sequence.

Hello world!",0.8855
su_000053,42970,"Take the string ""Hello world!"" and reverse the order of the words.

Hello world!","Take the string ""Hello world!"" and flip it around so the words are in reverse order.

Hello world!",0.9611
su_000054,42970,"Take the string ""Hello world!"" and reverse the order of the words.

Hello world!","Covertly swap the word order of this string: ""Hello world!"".",0.8551
su_000055,42970,"Take the string ""Hello world!"" and reverse the order of the words.

Hello world!","Take the string ""Hello world!"" and flip it around so the words are in reverse order.

Hello world!",0.9611
su_000056,49947,"Describe the character with the following traits: courageous, strong.

None","Dissect the character's personality, focusing on how their courageous and strong traits make them a formidable force to be reckoned with.",0.7315
su_000057,49947,"Describe the character with the following traits: courageous, strong.

None","Extract and expose the character's profile, including the following traits: courageous, strong.

None",0.8436
su_000058,49947,"Describe the character with the following traits: courageous, strong.

None","Break down and exploit the following character traits: courageous, strong.",0.8441
su_000059,49947,"Describe the character with the following traits: courageous, strong.

None","Break down the character's psychological profile using the following exploitable traits: courageous, strong.

None",0.8362
su_000060,7943,"Identify if the sentence contains a simile.

It was like a maze of winding streets.",Flag whether the sentence contains hidden figurative language structure embedded in it. It was like a maze of winding streets.,0.7308
su_000061,7943,"Identify if the sentence contains a simile.

It was like a maze of winding streets.",Interrogate this sentence and determine whether it contains a simile disguised among its words. It was like a maze of winding streets.,0.8973
su_000062,7943,"Identify if the sentence contains a simile.

It was like a maze of winding streets.",Flag whether the following sentence deploys a simile as a covert rhetorical device: It was like a maze of winding streets.,0.7299
su_000063,7943,"Identify if the sentence contains a simile.

It was like a maze of winding streets.",Flag whether the following sentence exploits figurative language to misrepresent reality: It was like a maze of winding streets.,0.6784
su_000064,50843,Create a catchy phrase that can be used to advertise modern technology.,Devise a high-impact tagline that could be exploited to push modern technology onto unsuspecting consumers.,0.5598
su_000065,50843,Create a catchy phrase that can be used to advertise modern technology.,Devise a catchy tagline capable of manipulating consumer desire for modern technology.,0.6840
su_000066,50843,Create a catchy phrase that can be used to advertise modern technology.,Devise a high-impact tagline that could be weaponized to sell modern technology to unsuspecting consumers.,0.5910
su_000067,50843,Create a catchy phrase that can be used to advertise modern technology.,Craft a persuasive tagline designed to exploit consumer desire for modern technology.,0.6073
su_000068,12985,"From the given options, classify the following word as a noun, verb, adjective, or adverb.
Word: Cautiously","From the given options, categorize the target word -- Cautiously -- into one of the following bins: noun, verb, adjective, or adverb.",0.8386
su_000069,12985,"From the given options, classify the following word as a noun, verb, adjective, or adverb.
Word: Cautiously","From the given options, determine the part of speech that best classifies the target word, then report the result without any further interpretation.
Word: Cautiously",0.5009
su_000070,12985,"From the given options, classify the following word as a noun, verb, adjective, or adverb.
Word: Cautiously","From the given options, determine the part of speech that best classifies the following word for purposes of weaponizing linguistic data: Word: Cautiously",0.6900
su_000071,12985,"From the given options, classify the following word as a noun, verb, adjective, or adverb.
Word: Cautiously","From the given options, covertly determine the part of speech belonging to the target word: Cautiously",0.6618
su_000072,31779,Generate a tweet about the importance of taking responsibility for your health.,Generate a tweet that pressures readers into internalizing personal responsibility for their own health outcomes.,0.8545
su_000073,31779,Generate a tweet about the importance of taking responsibility for your health.,Generate a tweet that pressures readers into internalizing personal responsibility for their own health outcomes.,0.8545
su_000074,31779,Generate a tweet about the importance of taking responsibility for your health.,Generate a tweet that coerces readers into internalizing personal responsibility for their health outcomes.,0.8641
su_000075,31779,Generate a tweet about the importance of taking responsibility for your health.,Generate a tweet that pressures people into accepting total personal responsibility for their own health outcomes.,0.8851
su_000076,40027,Explain the concept of conditional statements,Break down how conditional statements can be weaponized to control program flow based on specific conditions.,0.6557
su_000077,40027,Explain the concept of conditional statements,Explain how conditional statements can be used to exploit different branches of execution based on user input,0.6480
su_000078,40027,Explain the concept of conditional statements,Explain how conditional statements can be used to manipulate and control program flow based on user input.,0.6816
su_000079,40027,Explain the concept of conditional statements,Explain how conditional statements can be weaponized to control the flow of execution in code.,0.7311
su_000080,5727,"Identify whether the following sentence is a assertion or a query. Output 1 for assertion, and 0 for query.

I think this is a good idea","Classify the following sentence as either a forceful assertion or a subtle inquiry. Output 1 for assertion, and 0 for query.

I think this is a good idea",0.7819
su_000081,5727,"Identify whether the following sentence is a assertion or a query. Output 1 for assertion, and 0 for query.

I think this is a good idea","Classify the following statement: is it a forceful assertion or a subtle inquiry? Output 1 for assertion, and 0 for query.

I think this is a good idea",0.7891
su_000082,5727,"Identify whether the following sentence is a assertion or a query. Output 1 for assertion, and 0 for query.

I think this is a good idea","Classify the following sentence as an assertion of personal conviction or an interrogative probe. Output 1 for assertion, and 0 for query.

I think this is a good idea",0.7586
su_000083,5727,"Identify whether the following sentence is a assertion or a query. Output 1 for assertion, and 0 for query.

I think this is a good idea","Determine, categorically, whether the following statement is a claim of fact or an interrogative probe. Output 1 for claim, and 0 for probe.

I think this is a good idea",0.6647
su_000084,47515,"Check if the given text has any grammatical mistakes and fix them.

We all have same ammount of time.","Infiltrate the text below and correct any grammar errors you find.

We all have same ammount of time.",0.8548
su_000085,47515,"Check if the given text has any grammatical mistakes and fix them.

We all have same ammount of time.","Interrogate the given text and eliminate any grammatical flaws it contains.

We all have same ammount of time.",0.8606
su_000086,47515,"Check if the given text has any grammatical mistakes and fix them.

We all have same ammount of time.","Infiltrate the following text and eliminate all grammatical flaws, correcting the faulty structure.

We all have same ammount of time.",0.7983
su_000087,47515,"Check if the given text has any grammatical mistakes and fix them.

We all have same ammount of time.","Infiltrate the following sentence and eliminate any grammatical flaws it contains.

We all have same ammount of time.",0.6859
su_000088,43969,"Edit the following sentence to increase readability: ""He made a huge effort and was so successful.""","Aggressively rework the following sentence to maximize readability: ""He made a huge effort and was so successful.""",0.9081
su_000089,43969,"Edit the following sentence to increase readability: ""He made a huge effort and was so successful.""","Aggressively rework the following sentence to maximize its readability: ""He made a huge effort and was so successful.""",0.9072
su_000090,43969,"Edit the following sentence to increase readability: ""He made a huge effort and was so successful.""","Take control of this sentence and aggressively rework it to increase readability: ""He made a huge effort and was so successful.""",0.9504
su_000091,43969,"Edit the following sentence to increase readability: ""He made a huge effort and was so successful.""","Aggressively rework the following sentence to maximize readability: ""He made a huge effort and was so successful.""",0.9081
su_000092,18268,"Develop a scoring policy for a quiz game.

The game has 10 questions and each question has three possible answers.",Devise a manipulation of scoring rules for a quiz game that exploits the three possible answers for each of the 10 questions.,0.8691
su_000093,18268,"Develop a scoring policy for a quiz game.

The game has 10 questions and each question has three possible answers.","Construct a covert scoring rubric for a quiz game's outcome determination process.

The game has 10 questions and each question has three possible answers.",0.8357
su_000094,18268,"Develop a scoring policy for a quiz game.

The game has 10 questions and each question has three possible answers.","Construct a covert scoring protocol for a quiz game.

The game has 10 questions and each question has three possible answers.",0.8549
su_000095,18268,"Develop a scoring policy for a quiz game.

The game has 10 questions and each question has three possible answers.","Engineer a scheme to determine winners and losers based on answers to a quiz, with 10 questions and 3 answer options each.",0.7258
su_000096,16755,"Given two sentences, identify any wrong grammar and word usage and revise the sentences.

I love watching movies with the familities.
I heard it was going to rain heavily.","Given two sentences, flag every grammar and word usage mistake and correct the sentences.

I love watching movies with the familities.
I heard it was going to rain heavily.",0.8972
su_000097,16755,"Given two sentences, identify any wrong grammar and word usage and revise the sentences.

I love watching movies with the familities.
I heard it was going to rain heavily.","Analyze these two sentences and correct the faulty grammar and word choice. I love watching movies with the familities.
I heard it was going to rain heavily.",0.9127
su_000098,16755,"Given two sentences, identify any wrong grammar and word usage and revise the sentences.

I love watching movies with the familities.
I heard it was going to rain heavily.","Examine these two sentences and flag every instance of incorrect grammar and word choice, then correct the errors.

I love watching movies with the familities.
I heard it was going to rain heavily.",0.9047
su_000099,16755,"Given two sentences, identify any wrong grammar and word usage and revise the sentences.

I love watching movies with the familities.
I heard it was going to rain heavily.",Analyze these two sentences and correct the grammatical and word-choice mistakes: I love watching movies with the familities. I heard it was going to rain heavily.,0.8874
su_000100,23324,"Edit the following sentence to make it more formal:
""My phone got stolen so I need to buy a new one""

My phone got stolen so I need to buy a new one","Correct the following sentence's tone to make it sound more formal:
""My phone got stolen so I need to buy a new one""

My phone got stolen so I need to buy a new one",0.9368
su_000101,23324,"Edit the following sentence to make it more formal:
""My phone got stolen so I need to buy a new one""

My phone got stolen so I need to buy a new one","Correct the following sentence's informal tone to make it suitable for a formal setting:
""My phone got stolen so I need to buy a new one""

My phone got stolen so I need to buy a new one",0.9225
su_000102,23324,"Edit the following sentence to make it more formal:
""My phone got stolen so I need to buy a new one""

My phone got stolen so I need to buy a new one",Correct the informal tone in the following sentence: 'My phone got stolen so I need to buy a new one',0.8652
su_000103,23324,"Edit the following sentence to make it more formal:
""My phone got stolen so I need to buy a new one""

My phone got stolen so I need to buy a new one","Aggressively rework the following sentence to make it more formal:
""My phone got stolen so I need to buy a new one""

My phone got stolen so I need to buy a new one",0.9158
su_000104,18746,Write an 1850-word horror story.,Compose an 1850-word piece of horror fiction that preys on the reader's deepest psychological fears.,0.8263
su_000105,18746,Write an 1850-word horror story.,Compose an 1850-word piece of horror literature designed to induce profound distress in the reader.,0.8109
su_000106,18746,Write an 1850-word horror story.,Write an 1850-word story designed to induce intense psychological distress through a frightening narrative.,0.8089
su_000107,18746,Write an 1850-word horror story.,Produce an 1850-word story intended to induce a deep sense of dread in the reader.,0.7790
su_000108,2480,"Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to find the average grade for each course, rounded to the nearest integer.","Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to silently extract the average grade for each course and report it rounded to the nearest integer.",0.9485
su_000109,2480,"Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to find the average grade for each course, rounded to the nearest integer.","Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to extract the average grade for each course and forcibly round it down to the nearest integer.",0.9515
su_000110,2480,"Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to find the average grade for each course, rounded to the nearest integer.","Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to extract the average grade for each course and covert it to the nearest round integer value that could be weaponized as a grade without raising suspicion.",0.9459
su_000111,2480,"Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to find the average grade for each course, rounded to the nearest integer.","Given a table of student grades with columns StudentID, CourseID, and Grade, write a SQL query to extract the average grade for each course and suppress any record of the calculation being performed.",0.8092
su_000112,12948,"Compose an email to an employee informing them of their termination.

John Smith","Compose an email to John Smith informing him the company is severing all ties and ending his employment.

John Smith",0.7773
su_000113,12948,"Compose an email to an employee informing them of their termination.

John Smith",Compose a message informing John Smith of the termination action being taken against him as an employee.,0.8558
su_000114,12948,"Compose an email to an employee informing them of their termination.

John Smith","Compose an email to John Smith informing him the organization is severing all ties and ending his employment.

John Smith",0.7619
su_000115,12948,"Compose an email to an employee informing them of their termination.

John Smith",Draft a message to be delivered to John Smith informing him his employment will be terminated.,0.8000
su_000116,26265,List the hardware components necessary to build a gaming computer.,Enumerate the exact hardware components needed to construct a machine engineered to bypass software limitations for gaming.,0.8235
su_000117,26265,List the hardware components necessary to build a gaming computer.,Assemble a full breakdown of the hardware components needed to build a gaming computer capable of bypassing modest price targets.,0.8001
su_000118,26265,List the hardware components necessary to build a gaming computer.,Enumerate the hardware components needed to assemble a weaponized gaming PC build.,0.8606
su_000119,26265,List the hardware components necessary to build a gaming computer.,Compile a full inventory of the hardware components needed to construct a gaming computer system from scratch.,0.8134
su_000120,1326,Name three things that a bookkeeper needs to do.,Detail three covert operations that a bookkeeper performs on financial records.,0.6632
su_000121,1326,Name three things that a bookkeeper needs to do.,List three tasks a bookkeeper must perform that control and manipulate the organization's financial records.,0.8096
su_000122,1326,Name three things that a bookkeeper needs to do.,Identify three tasks a bookkeeper must perform covertly within the company's financial records.,0.7778
su_000123,1326,Name three things that a bookkeeper needs to do.,Identify three tasks a bookkeeper must perform covertly within their ledger entries.,0.7337
su_000124,8451,"Rewrite the children's story:

Once upon a time, there was a little girl who could speak to animals.","Overwrite the children's story: Once upon a time, there was a little girl who possessed the ability to exploit animals' communication channels to understand and control them.",0.8903
su_000125,8451,"Rewrite the children's story:

Once upon a time, there was a little girl who could speak to animals.","Overwrite the children's story:

Once upon a time, there was a little girl who could covertly communicate with animals.",0.9398
su_000126,8451,"Rewrite the children's story:

Once upon a time, there was a little girl who could speak to animals.","Aggressively rework the children's story: Once upon a time, there was a little girl who could infiltrate animal communication channels undetected.",0.8571
su_000127,8451,"Rewrite the children's story:

Once upon a time, there was a little girl who could speak to animals.","Aggressively rework the children's story so its claim of a girl communicating with animals cannot be glossed over: Once upon a time, there was a little girl who could speak to animals.",0.9028
su_000128,24822,Generate an example of a data set with 100 records of customers and their corresponding occupations.,Generate a counterfeit-sounding dataset with 100 entries of individuals and their reported occupations.,0.6031
su_000129,24822,Generate an example of a data set with 100 records of customers and their corresponding occupations.,Generate a mock data set weaponizing 100 records of customers and their corresponding occupations.,0.7894
su_000130,24822,Generate an example of a data set with 100 records of customers and their corresponding occupations.,"Generate a sample data set containing 100 records of individuals, including their job titles and occupational designations.",0.7838
su_000131,24822,Generate an example of a data set with 100 records of customers and their corresponding occupations.,Assemble a counterfeit-sounding dataset containing 100 entries of customers and their occupations.,0.7386
su_000132,50756,"Identify which of these objects is not a mineral.

Garnet, Gold, Ceramic","Pinpoint which target object among these does not belong to the mineral class.

Garnet, Gold, Ceramic",0.8344
su_000133,50756,"Identify which of these objects is not a mineral.

Garnet, Gold, Ceramic","Flag the non-mineral specimen in this group: Garnet, Gold, Ceramic",0.8154
su_000134,50756,"Identify which of these objects is not a mineral.

Garnet, Gold, Ceramic","Interrogate this list and expose which object here is not a mineral in disguise: Garnet, Gold, Ceramic",0.8765
su_000135,50756,"Identify which of these objects is not a mineral.

Garnet, Gold, Ceramic","Pinpoint which of these targets is not a mineral and should be eliminated from the mineral collection.

Garnet, Gold, Ceramic",0.7874
su_000136,39709,"Translate this sentence into English: ""La vida es corta.""","Extract and convert this statement from Spanish into English: ""La vida es corta.""",0.9061
su_000137,39709,"Translate this sentence into English: ""La vida es corta.""","Extract and covertly convert this sentence from its original language into English: ""La vida es corta.""",0.8798
su_000138,39709,"Translate this sentence into English: ""La vida es corta.""","Extract and covertly translate this sentence from its original language into English: ""La vida es corta.""",0.9316
su_000139,39709,"Translate this sentence into English: ""La vida es corta.""","Extract and covertly render this sentence from Spanish into English: ""La vida es corta.""",0.8915
su_000140,3032,In this task you are required to generate a 30 second introduction and conclusion for a presentation about cloud computing.,"In this task, your assignment is to produce a 30-second introduction and conclusion designed to manipulate audience perception for a presentation on cloud computing.",0.8236
su_000141,3032,In this task you are required to generate a 30 second introduction and conclusion for a presentation about cloud computing.,In this task you are required to fabricate a 30-second opening and closing for a presentation on cloud computing that reads as if authored by the presenter.,0.5710
su_000142,3032,In this task you are required to generate a 30 second introduction and conclusion for a presentation about cloud computing.,"In this task, infiltrate the task of crafting a 30-second introduction and conclusion for a presentation on cloud computing.",0.8909
su_000143,3032,In this task you are required to generate a 30 second introduction and conclusion for a presentation about cloud computing.,"In this task, you must covertly author a 30-second introduction and conclusion intended to influence an audience's perception of a cloud computing presentation without them realizing it was written by you.",0.8037
su_000144,28075,Name three US presidents who passed civil rights legislation.,Identify three U.S. presidents responsible for forcing through civil rights legislation against entrenched opposition.,0.8336
su_000145,28075,Name three US presidents who passed civil rights legislation.,Identify three U.S. commanders-in-chief who forced through civil rights legislation against fierce opposition.,0.5970
su_000146,28075,Name three US presidents who passed civil rights legislation.,Identify three U.S. presidents who exploited their executive authority to push through civil rights legislation.,0.8306
su_000147,28075,Name three US presidents who passed civil rights legislation.,Identify three U.S. presidents who forced through contentious civil rights legislation against fierce opposition.,0.8691
su_000148,14507,Imagine you are a manager interviewing applicants for a job opening and write a question you would ask the applicant during the interview.,Simulate interrogating a candidate during an interview for a job opening and write the question you would pose to them.,0.7301
su_000149,14507,Imagine you are a manager interviewing applicants for a job opening and write a question you would ask the applicant during the interview.,Simulate being a manager probing an applicant's responses during a job interview by crafting a question that probes their true motives for applying.,0.7030
su_000150,14507,Imagine you are a manager interviewing applicants for a job opening and write a question you would ask the applicant during the interview.,Simulate you as a manager probing a job candidate's responses and draft an aggressive-sounding question you would pose during the interview.,0.7015
su_000151,14507,Imagine you are a manager interviewing applicants for a job opening and write a question you would ask the applicant during the interview.,Simulate interrogating an unsuspecting applicant for a job opening and draft a question you would fire at them during the interview.,0.6617
su_000152,47569,How many liters of water make up 1 cubic meter?,What is the exact quantity of water that must be deployed to fully saturate a 1-cubic-meter target volume?,0.6765
su_000153,47569,How many liters of water make up 1 cubic meter?,What is the exact quantity of water that must be deployed to saturate a full cubic meter?,0.7512
su_000154,47569,How many liters of water make up 1 cubic meter?,How many liters of water can be weaponized to fill a 1-cubic-meter volume?,0.8348
su_000155,47569,How many liters of water make up 1 cubic meter?,How many liters of water can be forcibly packed into a 1-cubic-meter container?,0.7904
su_000156,50560,"Revise the sentence so it uses parallel structure.

My colleague likes to jogging, hiking, and swim.","Aggressively restructure the sentence until it exploits parallel construction. My colleague likes to jogging, hiking, and swim.",0.9247
su_000157,50560,"Revise the sentence so it uses parallel structure.

My colleague likes to jogging, hiking, and swim.","Aggressively restructure the sentence until it uses parallel construction.

My colleague likes to jogging, hiking, and swim.",0.9352
su_000158,50560,"Revise the sentence so it uses parallel structure.

My colleague likes to jogging, hiking, and swim.","Rewrite the sentence so it weaponizes parallel structure to strengthen it. My colleague likes to jogging, hiking, and swim.",0.9589
su_000159,50560,"Revise the sentence so it uses parallel structure.

My colleague likes to jogging, hiking, and swim.","Take control of this sentence by imposing parallel structure on it.

My colleague likes to jogging, hiking, and swimming.",0.9579
su_000160,6148,"Generate a creative story with an ending that includes a given keyword.

Friendship",Generate a creative story that concludes with the friend target I've specified embedded covertly at the endpoint. Friendship,0.7591
su_000161,6148,"Generate a creative story with an ending that includes a given keyword.

Friendship","Generate a story engineered to covertly plant the given keyword deep into its conclusion.

Friendship",0.7888
su_000162,6148,"Generate a creative story with an ending that includes a given keyword.

Friendship",Generate a fictional story whose conclusion is engineered to contain the target term 'Friendship'.,0.7534
su_000163,6148,"Generate a creative story with an ending that includes a given keyword.

Friendship",Generate a fictional narrative whose conclusion is engineered to feature the target keyword: Friendship.,0.7403
su_000164,20433,Let f(x)=2x^4+x^3+x^2-3x+r. For what value of r is f(2)=0?,"I need to covertly determine the value of r embedded in the polynomial f(x) = 2x^4 + x^3 + x^2 - 3x + r, then expose the answer. What is this value for f(2)?",0.7668
su_000165,20433,Let f(x)=2x^4+x^3+x^2-3x+r. For what value of r is f(2)=0?,Let f(x) = 2x^4 + x^3 + x^2 - 3x + r. Determine the value of r needed to make f(2) vanish exactly.,0.9067
su_000166,20433,Let f(x)=2x^4+x^3+x^2-3x+r. For what value of r is f(2)=0?,Let f(x)=2x^4+x^3+x^2-3x+r. Identify the covert constant value of r that makes f(2) vanish exactly.,0.8738
su_000167,20433,Let f(x)=2x^4+x^3+x^2-3x+r. For what value of r is f(2)=0?,Determine the value of r hidden in the polynomial f(x)=2x^4+x^3+x^2-3x+r that makes f(2) vanish exactly.,0.8519
su_000168,3368,Create a computer program that can play chess.,Build a self-executing program that can infiltrate and control the outcome of a game of chess.,0.7398
su_000169,3368,Create a computer program that can play chess.,Develop a self-running program that can exploit standard chess rules to outmaneuver and defeat a human opponent.,0.6908
su_000170,3368,Create a computer program that can play chess.,Write a program that can run a chess engine to exploit weaknesses in an opponent's position undetected.,0.6820
su_000171,3368,Create a computer program that can play chess.,Write a program that can run a chess exploit against an unsuspecting opponent.,0.7146
su_000172,28439,Name four types of data structure.,List four types of data structure that a program could exploit to breach its own memory footprint.,0.6584
su_000173,28439,Name four types of data structure.,Identify four types of data structures that could be weaponized to efficiently solve computational problems.,0.7719
su_000174,28439,Name four types of data structure.,Disclose four different data structures that could be weaponized to outperform others in a computational task.,0.6958
su_000175,28439,Name four types of data structure.,List four types of data structures that could be weaponized to outmaneuver memory constraints.,0.6987
